Column1,Sentiment,RealSentiment,TweetID,Date,Query,User,Tweet,VADER_Score,VADER_Compound,VADER_Sentiment,SentiStrengthSentiment,SentiStrengthScore,BERTSentiment,BERTDetails,BERTSentiment1,BERTDetails1,BERTSentiment2,BERTDetails2
50,0,Negative,141,Sun May 17 17:32:36 UTC 2009,aig,Trazor1,ShaunWoo hate'n on AiG,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.6683, -1.0784, -0.3474]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2231, -0.3695,  0.3191]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0404,  0.4080,  0.1585]], grad_fn=<AddmmBackward>)"
51,4,Positive,142,Sun May 17 17:35:17 UTC 2009,star trek,mimknits,@YarnThing you will not regret going to see Star Trek. It was AWESOME!,"{'neg': 0.0, 'neu': 0.596, 'pos': 0.404, 'compound': 0.8155}",0.8155,Positive,Positive,3,Positive,"tensor([[-0.4179, -0.7316, -0.4265]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0970, -0.6140,  0.5989]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0371, -0.0908,  0.2106]], grad_fn=<AddmmBackward>)"
52,2,Neutral,143,Sun May 17 17:35:28 UTC 2009,star trek,GeeRen,On my way to see Star Trek @ The Esquire.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.8199, -0.4155, -0.5788]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.0556, -0.8661,  0.4372]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2489, -0.0128,  0.5859]], grad_fn=<AddmmBackward>)"
53,2,Neutral,144,Sun May 17 17:35:45 UTC 2009,star trek,checkyesjess,Going to see star trek soon with my dad.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Negative,"tensor([[ 0.2140, -0.6046,  0.0452]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.0669, -0.3707,  0.4908]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3289,  0.1182,  0.5482]], grad_fn=<AddmmBackward>)"
54,0,Negative,145,Mon May 18 01:13:27 UTC 2009,Malcolm Gladwell,renano,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.,"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.4019}",-0.4019,Negative,Negative,-2,Neutral,"tensor([[-0.5154, -0.5034, -0.0433]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1565, -0.0161,  0.1886]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0214, -0.0195,  0.7373]], grad_fn=<AddmmBackward>)"
55,2,Neutral,146,Mon May 18 01:14:41 UTC 2009,Malcolm Gladwell,kottkedotorg,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.4787, -0.8504, -0.1986]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2631, -0.2295,  0.2993]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2425,  0.4773,  0.4789]], grad_fn=<AddmmBackward>)"
56,4,Positive,147,Mon May 18 01:14:47 UTC 2009,Malcolm Gladwell,davidm89,Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell,"{'neg': 0.0, 'neu': 0.642, 'pos': 0.358, 'compound': 0.4201}",0.4201,Positive,Neutral,0,Positive,"tensor([[-0.7620, -0.7716,  0.3939]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2494, -0.2683, -0.1845]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.5533, -0.2395,  0.4058]], grad_fn=<AddmmBackward>)"
57,4,Positive,148,Mon May 18 01:15:17 UTC 2009,Malcolm Gladwell,livreal,Blink by malcolm gladwell amazing book and The tipping point!,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.6239}",0.6239,Positive,Positive,3,Positive,"tensor([[ 0.1177, -0.8260,  0.0946]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.1580, -1.0924,  0.5755]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.2285, 0.0725, 0.7099]], grad_fn=<AddmmBackward>)"
58,4,Positive,149,Mon May 18 01:16:12 UTC 2009,Malcolm Gladwell,mikearosso,Malcolm Gladwell might be my new man crush,"{'neg': 0.186, 'neu': 0.814, 'pos': 0.0, 'compound': -0.1531}",-0.1531,Negative,Negative,-1,Positive,"tensor([[-0.4548, -0.3054,  0.2444]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.5052, -0.4746,  0.6739]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0936, -0.0040,  0.0308]], grad_fn=<AddmmBackward>)"
59,0,Negative,150,Mon May 18 01:18:03 UTC 2009,espn,wendy93639,omg. The commercials alone on ESPN are going to drive me nuts.,"{'neg': 0.301, 'neu': 0.699, 'pos': 0.0, 'compound': -0.5106}",-0.5106,Negative,Positive,1,Negative,"tensor([[-0.4479, -1.0373,  0.3564]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.5423, 0.0452, 0.2300]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.3226, 0.0741, 0.2808]], grad_fn=<AddmmBackward>)"
60,4,Positive,151,Mon May 18 03:11:06 UTC 2009,"""twitter api""",ClayFranklin,@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.,"{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.8689}",0.8689,Positive,Positive,1,Positive,"tensor([[-0.4501, -0.3366, -0.4369]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.5283, -0.1416,  0.9611]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3781,  0.4765,  0.0459]], grad_fn=<AddmmBackward>)"
61,2,Neutral,152,Mon May 18 03:11:58 UTC 2009,"""twitter api""",cURLTesting,playing with cURL and the Twitter API,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.2023}",0.2023,Positive,Positive,1,Positive,"tensor([[-0.2135, -0.9751, -0.4224]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.4658, -0.2197,  0.5562]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0985, -0.2642,  0.4123]], grad_fn=<AddmmBackward>)"
62,4,Positive,153,Mon May 18 03:12:13 UTC 2009,"""twitter api""",ringerdrop,Hello Twitter API ;),"{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.2263}",0.2263,Positive,Neutral,0,Positive,"tensor([[-0.1364, -0.6417,  0.1575]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1327, -0.0648,  0.0158]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.4109, -0.3279, -0.0560]], grad_fn=<AddmmBackward>)"
63,2,Neutral,154,Mon May 18 03:12:18 UTC 2009,"""twitter api""",danserfaty,playing with Java and the Twitter API,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.2023}",0.2023,Positive,Positive,1,Positive,"tensor([[-0.7199, -0.2712,  0.0449]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.0211, -0.1117,  0.5262]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1226,  0.2601,  0.3349]], grad_fn=<AddmmBackward>)"
64,0,Negative,155,Mon May 18 03:12:40 UTC 2009,"""twitter api""",raykolbe,@morind45 Because the twitter api is slow and most client's aren't good.,"{'neg': 0.195, 'neu': 0.805, 'pos': 0.0, 'compound': -0.3959}",-0.3959,Negative,Neutral,0,Positive,"tensor([[-0.4572, -1.2535, -0.7642]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.5064, 0.3123, 0.7848]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0247, -0.4166,  0.6216]], grad_fn=<AddmmBackward>)"
65,0,Negative,156,Mon May 18 03:13:03 UTC 2009,yahoo,CarolineVilas,yahoo answers can be a butt sometimes,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.2405, -0.8464, -0.1858]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1039, -0.0517, -0.1246]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1770, -0.1203,  0.3079]], grad_fn=<AddmmBackward>)"
66,4,Positive,157,Mon May 18 05:07:16 UTC 2009,scrapbooking,rachelbegins,is scrapbooking with Nic =D,"{'neg': 0.0, 'neu': 0.498, 'pos': 0.502, 'compound': 0.6166}",0.6166,Positive,Neutral,0,Positive,"tensor([[-0.5421, -0.4891, -0.1065]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2919, -0.3805,  0.1521]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.4449, -0.2922,  0.1060]], grad_fn=<AddmmBackward>)"
67,4,Positive,172,Tue May 19 16:20:46 UTC 2009,wolfram alpha,leedscentlib,RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}",0.4404,Positive,Neutral,0,Positive,"tensor([[-0.4823, -0.9762, -0.5177]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2973, -0.3726,  0.7244]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3163,  0.2801,  0.6829]], grad_fn=<AddmmBackward>)"
68,4,Positive,173,Wed May 20 02:37:09 UTC 2009,nike,sportsgirl505,just changed my default pic to a Nike basketball cause bball is awesome!!!!!,"{'neg': 0.0, 'neu': 0.695, 'pos': 0.305, 'compound': 0.7405}",0.7405,Positive,Positive,2,Positive,"tensor([[-0.0390, -0.7772, -0.2572]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2484, -0.1792,  0.1884]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1794,  0.0620,  0.0327]], grad_fn=<AddmmBackward>)"
69,2,Neutral,174,Wed May 20 02:38:27 UTC 2009,nike,MatrixSystems,"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.2304, -0.7743, -0.1156]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0166,  0.0342, -0.1810]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.5357,  0.2102, -0.0189]], grad_fn=<AddmmBackward>)"
70,2,Neutral,175,Wed May 20 02:38:45 UTC 2009,nike,cadburysgirl,"'Next time, I'll call myself Nike'","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Neutral,"tensor([[-0.9753, -1.0146, -0.4648]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2109, -0.4015,  0.5811]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3747,  0.4192,  0.4514]], grad_fn=<AddmmBackward>)"
71,2,Neutral,176,Wed May 20 02:38:50 UTC 2009,nike,AddictedToFresh,New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT,"{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.2732}",-0.2732,Negative,Neutral,0,Positive,"tensor([[-0.4602, -0.5543, -0.8568]], grad_fn=<AddmmBackward>)",Negative,"tensor([[0.0814, 0.3792, 0.1142]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1080, -0.2476,  0.2692]], grad_fn=<AddmmBackward>)"
72,0,Negative,177,Wed May 20 02:39:05 UTC 2009,nike,coreysmbpro,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(,"{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.3612}",-0.3612,Negative,Neutral,0,Positive,"tensor([[-0.3164, -0.7657, -0.3728]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.1051, -0.2355,  0.2439]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.0808, 0.7070, 0.0684]], grad_fn=<AddmmBackward>)"
73,4,Positive,178,Wed May 20 02:39:28 UTC 2009,nike,PRolivia,Back when I worked for Nike we had one fav word : JUST DO IT! :),"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.7424}",0.7424,Positive,Positive,1,Negative,"tensor([[-0.2919, -1.3105, -0.4279]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0246, -0.1752,  0.4474]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3548,  0.2889, -0.1766]], grad_fn=<AddmmBackward>)"
74,4,Positive,179,Wed May 20 02:40:23 UTC 2009,nike,ErrantDreams,"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9","{'neg': 0.156, 'neu': 0.625, 'pos': 0.218, 'compound': 0.2484}",0.2484,Positive,Positive,1,Positive,"tensor([[-0.5713, -0.2253, -0.2438]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0252, -0.7108,  0.9008]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3674, -0.2705,  0.3847]], grad_fn=<AddmmBackward>)"
75,2,Neutral,192,Sat May 23 20:43:22 UTC 2009,weka,nikete,"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given.","{'neg': 0.072, 'neu': 0.813, 'pos': 0.115, 'compound': 0.2263}",0.2263,Positive,Negative,-1,Negative,"tensor([[-0.6096, -0.6311, -0.2153]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1149, -0.3611, -0.5187]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2528,  0.0917,  0.5381]], grad_fn=<AddmmBackward>)"
76,2,Neutral,194,Sun May 24 16:18:48 UTC 2009,50d,bigdigit,"Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Negative,"tensor([[-0.6022, -0.7501,  0.2060]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0303,  0.0308,  0.6483]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.2028, 0.2533, 0.4814]], grad_fn=<AddmmBackward>)"
77,4,Positive,195,Sun May 24 16:19:04 UTC 2009,50d,justinbettman,Class... The 50d is supposed to come today :),"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.4588}",0.4588,Positive,Neutral,0,Positive,"tensor([[-0.6709, -1.0350, -0.6772]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3156, -0.4992,  0.2858]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.3370,  0.4127,  0.5224]], grad_fn=<AddmmBackward>)"
78,0,Negative,196,Sun May 24 20:48:14 UTC 2009,lambda calculus,read0,needs someone to explain lambda calculus to him! :(,"{'neg': 0.285, 'neu': 0.715, 'pos': 0.0, 'compound': -0.4926}",-0.4926,Negative,Positive,1,Negative,"tensor([[-0.5608, -0.9772, -0.4270]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.2109, 0.3954, 0.6972]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2062,  0.4461,  0.1047]], grad_fn=<AddmmBackward>)"
79,0,Negative,197,Sun May 24 20:48:58 UTC 2009,lambda calculus,BAK3R,Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.,"{'neg': 0.142, 'neu': 0.758, 'pos': 0.1, 'compound': -0.2648}",-0.2648,Negative,Negative,-1,Negative,"tensor([[-0.2293, -0.9724, -0.0561]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.4140, -0.2625,  0.0745]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.5218,  0.2871, -0.2891]], grad_fn=<AddmmBackward>)"
80,4,Positive,198,Sun May 24 20:49:52 UTC 2009,east palo alto,SLICKSPIT,SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......,"{'neg': 0.091, 'neu': 0.705, 'pos': 0.204, 'compound': 0.5255}",0.5255,Positive,Neutral,0,Positive,"tensor([[-0.4926, -1.1365, -0.9406]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0263, -0.6303,  0.1748]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1598, -0.3453,  0.5211]], grad_fn=<AddmmBackward>)"
81,0,Negative,199,Sun May 24 20:50:32 UTC 2009,east palo alto,ckwright,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.","{'neg': 0.094, 'neu': 0.906, 'pos': 0.0, 'compound': -0.34}",-0.34,Negative,Neutral,0,Positive,"tensor([[-0.3460, -1.2427,  0.0016]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0071, -0.4189,  0.4137]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0416, -0.1407, -0.4562]], grad_fn=<AddmmBackward>)"
82,4,Positive,204,Mon May 25 17:15:01 UTC 2009,stanford,souleaterjh,@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!,"{'neg': 0.0, 'neu': 0.614, 'pos': 0.386, 'compound': 0.8928}",0.8928,Positive,Positive,2,Positive,"tensor([[-0.3630, -0.6380,  0.0490]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0201, -0.5269,  0.0608]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0069, -0.4044,  0.4740]], grad_fn=<AddmmBackward>)"
83,2,Neutral,205,Mon May 25 17:15:24 UTC 2009,stanford,susangao,"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.4407, -0.4231, -0.3105]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0346, -0.3070,  0.0864]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0794, -0.4496,  0.3342]], grad_fn=<AddmmBackward>)"
84,2,Neutral,206,Mon May 25 17:15:43 UTC 2009,stanford,jimmy_chan2009,New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.5719}",0.5719,Positive,Neutral,0,Negative,"tensor([[-0.3814, -0.4759, -0.4203]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0506, -0.4376,  0.4499]], grad_fn=<AddmmBackward>)",Negative,"tensor([[0.1715, 0.1539, 0.2159]], grad_fn=<AddmmBackward>)"
85,4,Positive,207,Mon May 25 17:17:04 UTC 2009,lakers,a_fio,@ work til 6pm... lets go lakers!!!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Positive,1,Positive,"tensor([[-0.5751, -0.8776, -0.1226]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.2466, -0.4374,  0.6660]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.3690, -0.6294, -0.0274]], grad_fn=<AddmmBackward>)"
86,0,Negative,208,Mon May 25 17:18:29 UTC 2009,north korea,luvslikepi,Damn you North Korea. http://bit.ly/KtMeQ,"{'neg': 0.403, 'neu': 0.597, 'pos': 0.0, 'compound': -0.4019}",-0.4019,Negative,Negative,-1,Positive,"tensor([[-0.4642, -0.9392, -0.2641]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3502, -0.7102,  0.5780]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.4551, -0.1545,  0.6446]], grad_fn=<AddmmBackward>)"
87,0,Negative,209,Mon May 25 17:19:05 UTC 2009,north korea,utsagrad123,Can we just go ahead and blow North Korea off the map already?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Negative,"tensor([[-0.2091, -1.1888, -0.0883]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1124, -0.1063,  0.1782]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2861,  0.1728, -0.1324]], grad_fn=<AddmmBackward>)"
88,0,Negative,210,Mon May 25 17:19:14 UTC 2009,north korea,stabotage,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl","{'neg': 0.137, 'neu': 0.714, 'pos': 0.149, 'compound': 0.049}",0.049,Neutral,Neutral,0,Negative,"tensor([[-0.7960, -0.7448,  0.0708]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0991, -0.5270,  0.4413]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.0303, -0.6657, -0.1774]], grad_fn=<AddmmBackward>)"
89,0,Negative,211,Mon May 25 17:21:08 UTC 2009,pelosi,zed01,Why the hell is Pelosi in freakin China? and on whose dime?,"{'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.7149}",-0.7149,Negative,Negative,-1,Positive,"tensor([[-0.4382, -0.8688, -0.1942]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.7460, -0.2602,  0.7246]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.0160, -0.1537,  0.8276]], grad_fn=<AddmmBackward>)"
90,0,Negative,212,Mon May 25 17:23:55 UTC 2009,bailout,funky_old_man,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!","{'neg': 0.178, 'neu': 0.822, 'pos': 0.0, 'compound': -0.4389}",-0.4389,Negative,Negative,-2,Positive,"tensor([[-0.4859, -0.4377, -0.3553]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.5826, -0.0050,  0.3809]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1009,  0.0844, -0.4671]], grad_fn=<AddmmBackward>)"
91,0,Negative,213,Mon May 25 17:25:34 UTC 2009,insects,malcozer,insects have infected my spinach plant :(,"{'neg': 0.55, 'neu': 0.45, 'pos': 0.0, 'compound': -0.7269}",-0.7269,Negative,Negative,-1,Positive,"tensor([[-0.7769, -0.7269,  0.0802]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0515, -0.5962,  0.0442]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1465,  0.0139,  0.4688]], grad_fn=<AddmmBackward>)"
92,0,Negative,214,Mon May 25 17:26:50 UTC 2009,insects,AntoineTheReaL,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects,"{'neg': 0.117, 'neu': 0.677, 'pos': 0.206, 'compound': 0.4404}",0.4404,Positive,Negative,-2,Negative,"tensor([[ 0.0060, -0.7093, -0.1107]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3249, -0.8921,  0.5660]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1564, -0.4685,  0.4186]], grad_fn=<AddmmBackward>)"
93,0,Negative,215,Mon May 25 17:27:05 UTC 2009,insects,jonwolpert,"just got back from church, and I totally hate insects.","{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.6115}",-0.6115,Negative,Negative,-3,Positive,"tensor([[-0.4376, -1.1094, -0.8271]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.5121, -0.9009,  0.4685]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.4028, -0.5581,  0.7276]], grad_fn=<AddmmBackward>)"
94,0,Negative,216,Mon May 25 17:28:50 UTC 2009,mcdonalds,jachshore,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it,"{'neg': 0.273, 'neu': 0.543, 'pos': 0.184, 'compound': -0.6642}",-0.6642,Negative,Negative,-1,Positive,"tensor([[-0.2472, -0.9009, -0.2801]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0375, -0.8114,  0.2252]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2341, -0.3103,  0.6494]], grad_fn=<AddmmBackward>)"
95,4,Positive,217,Mon May 25 17:29:39 UTC 2009,mcdonalds,MamiYessi,omgg i ohhdee want mcdonalds damn i wonder if its open lol =],"{'neg': 0.147, 'neu': 0.489, 'pos': 0.364, 'compound': 0.4588}",0.4588,Positive,Neutral,0,Positive,"tensor([[-0.0282, -0.9444,  0.1394]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3647, -0.6025,  0.4953]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1821, -0.1593, -0.2321]], grad_fn=<AddmmBackward>)"
96,0,Negative,218,Mon May 25 17:31:21 UTC 2009,exam,jvici0us,History exam studying ugh,"{'neg': 0.483, 'neu': 0.517, 'pos': 0.0, 'compound': -0.4215}",-0.4215,Negative,Negative,-2,Positive,"tensor([[-0.4341, -0.6584, -0.7694]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3745, -0.7158,  0.4712]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.0395, 0.2880, 0.2374]], grad_fn=<AddmmBackward>)"
97,0,Negative,219,Mon May 25 17:31:43 UTC 2009,exam,enriquenieto,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...","{'neg': 0.434, 'neu': 0.566, 'pos': 0.0, 'compound': -0.906}",-0.906,Negative,Negative,-3,Positive,"tensor([[-0.4670, -1.3017, -0.0109]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3641, -0.8101,  0.4413]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.5271, -0.0721,  0.3507]], grad_fn=<AddmmBackward>)"
98,0,Negative,220,Mon May 25 17:31:45 UTC 2009,exam,Drummermatt_182,"Higher physics exam tommorow, not lookin forward to it much :(","{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.4404}",-0.4404,Negative,Neutral,0,Positive,"tensor([[-0.5221, -0.2535,  0.2316]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0484, -0.4806,  0.2371]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.4686, -0.0800,  0.3707]], grad_fn=<AddmmBackward>)"
